City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,mejit,10.2753,170.8646,28.25,79,99,6.78,MH,2023-09-29 23:27:29
253,kourou,5.1552,-52.6478,28.03,80,11,5.77,GF,2023-09-29 23:27:29
254,kalmunai,7.4167,81.8167,25.94,78,97,5.94,LK,2023-09-29 23:27:30
255,quelimane,-17.8786,36.8883,24.97,88,20,4.12,MZ,2023-09-29 23:27:30
256,palikir - national government center,6.9248,158.1611,28.47,100,100,1.54,FM,2023-09-29 23:27:30
257,polyarnyy,69.1989,33.4478,10.3,94,100,4.53,RU,2023-09-29 23:27:30
258,dzhetygara,52.1908,61.2006,11.28,75,100,2.34,KZ,2023-09-29 23:27:30
259,lebu,-37.6167,-73.65,11.22,86,0,5.34,CL,2023-09-29 23:27:30
260,tsiombe,-25.3,45.4833,20.97,70,0,2.78,MG,2023-09-29 23:27:30
261,revda,56.801,59.9303,8.24,98,100,2.36,RU,2023-09-29 23:27:31
262,vadso,70.0744,29.7487,8.49,93,75,2.57,NO,2023-09-29 23:27:31
263,puerto deseado,-47.7503,-65.8938,7.56,73,18,9.93,AR,2023-09-29 23:27:31
264,vyazemskiy,47.5378,134.7525,11.81,78,57,0.91,RU,2023-09-29 23:27:31
265,remire-montjoly,4.9167,-52.2667,28.02,78,0,2.06,GF,2023-09-29 23:27:31
266,mozarlandia,-14.7447,-50.5706,30.03,56,91,2.16,BR,2023-09-29 23:27:32
267,codrington,-38.2667,141.9667,18.59,52,57,6.48,AU,2023-09-29 23:27:32
268,fort frances,48.5999,-93.4003,17.12,82,100,0.0,CA,2023-09-29 23:27:32
269,vorgashor,67.5833,63.95,-0.41,79,97,2.36,RU,2023-09-29 23:27:32
270,taoudenni,22.6783,-3.9836,30.24,17,2,5.93,ML,2023-09-29 23:27:32
271,buraydah,26.326,43.975,29.25,14,4,3.75,SA,2023-09-29 23:27:32
272,timaru,-44.4,171.25,11.15,27,41,5.36,NZ,2023-09-29 23:27:32
273,francistown,-21.17,27.5079,20.7,67,44,4.54,BW,2023-09-29 23:27:33
274,pirae,-17.5167,-149.5333,28.01,69,20,3.6,PF,2023-09-29 23:27:33
275,hailar,49.2,119.7,4.71,58,9,2.91,CN,2023-09-29 23:27:33
276,thunder bay,48.4001,-89.3168,16.99,82,75,3.6,CA,2023-09-29 23:27:24
277,cascais,38.6979,-9.4215,28.06,58,2,0.89,PT,2023-09-29 23:27:33
278,conceicao da barra,-18.5933,-39.7322,23.41,71,99,4.76,BR,2023-09-29 23:27:33
279,cole harbour,44.6724,-63.4751,14.71,91,53,0.89,CA,2023-09-29 23:27:34
280,hotan,37.0997,79.9269,14.73,26,0,1.04,CN,2023-09-29 23:27:34
281,akom ii,2.7833,10.5667,20.92,100,99,0.72,CM,2023-09-29 23:27:34
282,masterton,-40.9597,175.6575,9.38,96,100,5.44,NZ,2023-09-29 23:27:34
283,richards bay,-28.783,32.0377,21.85,82,0,3.54,ZA,2023-09-29 23:27:34
284,watertown,42.3709,-71.1828,14.36,89,100,4.12,US,2023-09-29 23:23:17
285,guarapari,-20.6667,-40.4975,21.61,86,100,2.29,BR,2023-09-29 23:27:34
286,eyl,7.9803,49.8164,26.38,81,20,8.34,SO,2023-09-29 23:27:35
287,hermanus,-34.4187,19.2345,15.7,79,90,9.34,ZA,2023-09-29 23:27:35
288,arraial do cabo,-22.9661,-42.0278,20.92,78,75,6.17,BR,2023-09-29 23:27:35
289,st. paul,44.9444,-93.0933,24.29,74,0,4.12,US,2023-09-29 23:24:57
290,greenville,35.6127,-77.3663,22.09,90,100,1.54,US,2023-09-29 23:23:16
291,bengkulu,-3.8004,102.2655,21.78,94,79,1.65,ID,2023-09-29 23:27:35
292,kapa'a,22.0752,-159.319,29.15,71,40,6.17,US,2023-09-29 23:27:35
293,shizunai-furukawacho,42.3339,142.3669,17.24,64,65,1.61,JP,2023-09-29 23:27:36
294,fale old settlement,-9.3852,-171.2468,28.72,71,42,5.53,TK,2023-09-29 23:27:36
295,namsos,64.4662,11.4957,10.03,100,100,6.17,NO,2023-09-29 23:27:36
296,el calafate,-50.3408,-72.2768,6.52,64,100,0.83,AR,2023-09-29 23:27:36
297,rio grande,-32.035,-52.0986,17.75,90,97,4.49,BR,2023-09-29 23:27:36
298,batangafo,7.3008,18.2833,22.25,96,57,1.75,CF,2023-09-29 23:27:36
